name,id,minutes,ingredients,steps,category
chile rellenos,43026,45,"['egg roll wrap', 'whole green chilies', 'cheese', 'cornstarch', 'oil']","['drain green chiles', 'sprinkle cornstarch on sheet pan', 'open up chile and place on egg roll wrapper with corner facing you', 'place cheese stick on chile and roll up , tucking in corners and moistening edges to seal', 'toss in cornstarch , dusting liberally', 'shake off excess cornstarch and deep fry in 350 oil to cover until lightly golden and cheese just starts to ooze out', 'drain on paper towels and keep warm in 250 oven', 'serve as a side dish or appetizer with your favorite mexican meal', 'add your favorite condi- ments / sauces']",vegetable
chinese  candy,23933,15,"['butterscotch chips', 'chinese noodles', 'salted peanuts']","['melt butterscotch chips in heavy saucepan over low heat', 'fold in peanuts and chinese noodles until coated', 'drop by tablespoon onto waxed paper', 'let stand in cool place until firm']",vegetable
chinese  chop suey,8559,70,"['celery', 'onion', 'ground pork', 'soy sauce', 'beef broth', 'cooking oil', 'hamburger buns']","['brown ground meat and onion in a large pot', 'add 1 / 4 cup of soy sauce', 'thinly slice the entire bunch of celery , including the leaves', 'add beef broth and celery', 'bring to a boil', 'reduce heat and simmer until celery is tender', 'add more soy sauce if needed , to taste', 'serve as an open face sandwich over a hamburger bun']",vegetable
cream  of cauliflower soup  vegan,23850,110,"['canola oil', 'onion', 'garlic', 'cauliflower', 'potatoes', 'vegetable bouillon cubes', 'water', 'salt free herb and spice seasoning mix', 'ground coriander', 'great northern bean', 'salt and pepper', 'broccoli floret', 'escarole', 'green peas', 'red bell pepper', 'fresh herb']","['heat the oil or margarine in a soup pot and add the onion and garlic', 'saute over medium heat until the onion is golden , about 10 minutes', 'add the cauliflower , potatoes , water , and seasonings', 'there should be enough broth to cover all but about an inch of the veggies', 'bring to a simmer , then simmer gently covered until the veggies are tender , about 25 minutes', 'remove from the heat transfer the vegetables from the soup pot to a food processor or blender and puree in batches until smooth', 'puree about half of the beans with each of the two batches of vegetables', 'transfer the puree back into the soup pot , stirring it back into whatever liquid remained', 'let the soup stand for 1-2 hours before serving , then heat through as needed', 'ladle into soup bowls and garnish the tops with 2-3 garnishes']",vegetable
cream  of spinach soup,76808,45,"['water', 'salt', 'boiling potatoes', 'fresh spinach leaves', 'unsalted butter', 'coarse salt', 'fresh ground black pepper', 'nutmeg']","['bring water and salt to a boil', 'cut the potatoes in half lengthwise , and then into 1 / 2"" thick slices', 'boil over medium-high heat for twenty minutes', ""add the spinach and boil another 10 minutes being careful to not overcook in order to maintain it's bright green color"", 'drain , reserving 1 1 / 4 cups cooking liquid', 'in a food processor , process the potatoes and spinach until very smooth , adding the butter 1 / 2 t at a time', 'return the puree to the pot and add the reserved liquid until the desired consistency', 'reheat slowly and season with salt and pepper', 'ladle into shallow soup plates and garnish with nutmeg or shaved cheese']",vegetable
crispy crunchy  chicken,83873,35,"['boneless skinless chicken breast halves', 'condensed cream of chicken soup', 'egg', 'seasoning salt', 'all-purpose flour', 'cornstarch', 'garlic powder', 'paprika', 'salt and pepper', 'oil']","['combine soup , egg and seasoned salt in a bowl and set aside', 'mix together flour , cornstarch , garlic powder , paprika , salt and pepper in a resealable plastic bag', 'dip chicken pieces into soup mixture and turn so as to coat all over', 'place chicken pieces in bag with flour mixture , seal bag and shake to coat chicken', 'place coated pieces of chicken on a platter and allow to set until the coating becomes doughy', 'heat oil in a deep fryer or in a skillet over medium heat , using enough oil to cover chicken pieces when fried', 'once chicken is doughy , fry pieces in oil for approx 5-8 minutes or until cooked through and juices run clear', 'drain pieces on paper towel and serve']",vegetable
emotional balance  spice mixture,48156,10,"['ground black pepper', 'ground ginger', 'ground coriander', 'ground cumin', 'ground turmeric', 'black cumin']","['mix the spices together and store in an airtight container', 'saute small amounts in butter / ghee to spice vegetables and grains']",vegetable
fool the meat eaters  chili,54272,40,"['vegetarian ground beef', 'garlic', 'onion', 'jalapenos', 'green pepper', 'celery', 'kidney beans', 'diced tomatoes', 'chili powder', 'black pepper', 'salt', 'red pepper flakes']","['rehydrate tvp if needed', 'spray or oil a large pot', 'chop the onion , hot peppers , and garlic and add to the pot', 'chop remaining vegetables , add to pot and brown lightly', 'add remaining ingredients', 'stir well and simmer at least 15 minutes', 'taste adjust spices to taste', 'simmer an additional 15 minutes or so', 'serve with garlic bread , toast , or on rice']",vegetable
forgotten  minestrone,47366,495,"['beef stew meat', 'water', 'tomatoes', 'beef bouillon cube', 'onion', 'dried parsley', 'salt', 'ground thyme', 'ground pepper', 'zucchini', 'cabbage', 'garbanzo beans', 'elbow macaroni', 'parmesan cheese']","['in a slow cooker , combine the first nine ingredients', 'cover and cook on low for 7-9 hours or until meat is tender', 'add zucchini , cabbage , beans and macaroni', 'cook on high 30-45 minutes more or until the vegetables are tender', 'sprinkle individual servings with parmesan cheese']",vegetable
fried  potatoes,37073,40,"['red potatoes', 'margarine', 'rosemary']","['preheat oven to 400 degrees', 'cut the potatoes into strips about 2 1 / 2 inches long by 1 / 4-inch thick', 'soak the potatoes in ice water for five minutes', 'drain the potatoes , then rinse thoroughly under cold water', 'press between paper towels to dry', 'transfer potatoes to a bowl , pour melted margarine over the potatoes and toss to coat them', 'spray baking sheet with non-stick spray', 'spread potatoes onto baking sheet', 'bake for 15 minutes', 'toss and turn', 'bake for five minutes', 'add herbs and toss', 'bake a final five minutes until the potatoes are brown and crisp', 'serve immediately']",vegetable
george s at the cove  black bean soup,44123,90,"['unsalted butter', 'carrot', 'onion', 'celery', 'broccoli stem', 'dried thyme', 'dried oregano', 'dried sweet basil leaves', 'dry white wine', 'chicken stock', 'worcestershire sauce', 'tabasco sauce', 'smoked chicken', 'black beans', 'broccoli floret', 'heavy cream', 'salt & fresh ground pepper', 'cornstarch']","['in 1 / 4 cup butter , saute carrots , onion , celery and broccoli stems for 5 minutes', 'add thyme , oregano and basil', 'saute 5 minutes more', 'add wine and deglaze pan', 'add hot chicken stock and reduce by one-third', 'add worcestershire sauce , tabasco , smoked chicken , beans and broccoli florets', 'simmer 5 minutes', 'add cream , simmer 5 minutes more and season to taste', 'drop in remaining butter , piece by piece , stirring until melted and serve immediately', 'smoked chicken: on a covered grill , slightly smoke boneless chicken , cooking to medium rare', 'chef meskan uses applewood chips and does not allow the grill to become too hot']",vegetable
get the sensation  brownies,27087,70,"['butter', 'sugar', 'vanilla', 'eggs', 'all-purpose flour', 'baking cocoa', 'baking powder', 'salt', 'miniature peppermint patties']","['preheat oven to 350 degrees', 'grease 13 x 9 baking pan', 'in a large bowl , whisk together butter , sugar and vanilla', 'add eggs and stir until well combined', 'combine dry ingredients and blend well with wet ingredients', 'reserve 2 cups of batter and set aside', 'spread remaining batter in prepared pan', 'arrange peppermint patties in a single layer over batter , about 1 / 2 inch apart', 'carefully spread reserved 2 cups of batter on top', 'bake for 50- 55 minutes or until brownies begin to pull away from sides of pan', 'cool completely on wire rack and cut into squares']",vegetable
global gourmet  taco casserole,59952,55,"['ground beef', 'onion', 'tomato sauce', 'taco sauce', 'salt', 'pepper', 'tabasco sauce', 'hot chili pepper', 'cornmeal', 'whole kernel corn', 'sliced ripe olives', 'cheddar cheese']","['heat oven to 375 degrees', 'brown ground beef and onion over medium heat', 'drain', 'stir in tomato sauce , taco or other sauce , salt , pepper , tabasco , chiles , and cornmeal , adjusting for""hot"" taste preference and desired thickness', 'stir in more cornmeal , if desired', 'stir in corn and olives', 'transfer mixture to casserole dish', 'cover and bake for 30 to 40 minutes , or until bubbly and heated through', 'top with cheese immediately on removing from oven so cheese melts', 'garnish with corn chips just before serving to keep them crisp', 'serve with a cool fresh vegetable such as cucumber slices , avocado , or lettuce leaves , if desired']",vegetable
grilled  venison burgers,54100,26,"['ground venison', 'egg substitute', 'non-fat powdered milk', 'water', 'fresh breadcrumb', 'onion', 'salt', 'black pepper', 'dry mustard', 'worcestershire sauce']","['in bowl , mix dry ingredients', 'add venison and mix well', 'add liquid ingredients and mix well with a fork , until bread crumbs are barely noticeable', 'on plastic wrap , form into 8 patties , making them round and very flat-- like a fast-food burger', 'they can be cooked immediately , but i prefer to freeze them first', 'place them on a large cookie sheet and freeze them several hours', 'remove from freezer and place waxed paper between each burger as you stack them', 'i stack them in 2 1-quart freezer zip-lock bags', 'preheat cast iron skillet to very hot', 'cook frozen burgers until they are slightly charred on one side and then turn and cook until the other side is slightly charred and burgers are medium-well', 'do not overcook', 'turn burner off and leave burgers in the pan while you put condiments on your hamburger bun', 'if cooking thawed burgers , cook about 2-3 minutes per side']",vegetable
homemade  vegetable soup from a can,87098,12,"['low sodium chicken broth', 'diced tomatoes', 'zucchini', 'corn', 'potatoes', 'wax beans', 'green beans', 'carrots']","['combine all ingredients in large pot', 'bring to a boil and simmer for 3 minutes', 'serve', 'i use the tomatoes that come flavored with basil , oregano , and garlic', 'you can substitute whatever vegetables you like', ""if you don't want to use the zucchini , add a can of tomato sauce to give it some substance""]",vegetable
how i got my family to eat spinach  spinach casserole,25775,50,"['frozen chopped spinach', 'egg', 'salt', 'black pepper', 'onion', 'sharp cheddar cheese', 'condensed cream of mushroom soup', 'crouton']","['preheat oven to 350 degrees', 'place spinach in strainer and squeeze all extra liquid from it', 'in a large bowl , combine spinach with the rest of ingredients , except croutons , and combine well', 'pour into a 2 quart casserole dish and top with croutons', 'bake for 35 to 40 minutes , or until bubbling around edges']",vegetable
i can t believe it s low fat  creamy potato salad,33165,30,"['red potatoes', 'green onion', 'diced pimentos', 'fat-free mayonnaise', 'plain low-fat yogurt', 'low-fat sour cream', 'sugar', 'prepared mustard', 'white wine vinegar', 'salt', 'pepper', 'celery seed', 'garlic']","['cut potatoes into 1 / 2"" pieces', 'place in medium saucepan', 'add water to cover', 'bring to a boil', 'cover , reduce heat , and simmer 15-20 minutes or until tender', 'drain and cool', 'combine potato , chopped green onion , and pimemto in a large bowl', 'toss gently', 'combine mayonnaise and next 9 ingredients', 'stir well', 'add to potato mixture , tossing gently to coat', 'cover and chill']",vegetable
i can t believe it s spinach,38798,30,"['frozen chopped spinach', 'eggs', 'garlic powder', 'soft breadcrumbs', 'oregano', 'margarine', 'sage', 'onion']","['combine all ingredients in a large bowl and mix well', 'shape into one-inch balls', 'cover and refrigerate or freeze until ready to bake', 'preheat oven to 350 degrees', 'place on ungreased baking sheet and bake until light brown']",vegetable
i don t feel like cooking tonight  casserole,22123,45,"['ground beef', 'onion', 'frozen vegetables', 'cream of mushroom soup', 'condensed cream of mushroom & garlic soup', 'salt & pepper', 'cooking oil', 'cornbread mix']","['brown onion and meat in the oil , drain any excess moisture', 'remove from heat and add both cans of soup and the veggies of your choice and stir', 'salt and pepper to taste', 'pour mixture into a greased 9x9 inch baking pan', 'spoon the prepared cornbread mix over the top and spread even', 'bake in a preheated 350 degree oven for 35-45 minutes , or until cornbread is done']",vegetable
i stole the idea from mirj  sesame noodles,90921,18,"['angel hair pasta', 'toasted sesame oil', 'soy sauce', 'honey', 'garlic', 'green onions', 'toasted sesame seeds', 'stir fry vegetables']","['in a large pot , cook your angel hair pasta until almost al dente', 'drain well , put in a bowl and set aside', 'in a small tupperware container with a lid , mix sesame oil , soy sauce , honey , garlic and sesame seeds', 'put the lid on the container and shake , shake , shake it like a polaroid picture', 'pour the sauce over the angel hair and toss well', ""the heat of the pasta will cook the garlic a bit so it won't be totally raw"", 'mix in the green onions and stir fry veggies', 'serve']",vegetable
i yam what i yam two  muffins,93959,35,"['all-purpose flour', 'buckwheat flour', 'unsweetened cocoa', 'baking powder', 'baking soda', 'salt', 'ground cinnamon', 'ground cloves', 'honey', 'sugar', 'eggs', 'yam', 'low-fat buttermilk', 'orange rind', 'orange juice', 'canola oil', 'brown sugar', 'flour', 'cinnamon', 'butter', 'pecans']","['preheat oven to 375 degrees', 'add the brown sugar , flour , cinnamon to a small bowl and cut in softened butter', 'when mixture is well mixed stir in chopped pecans', 'set aside', 'spray a 12-muffin tin with non-stick cooking spray and set aside', 'combine the flours , cocoa , baking powder , cinnamon , cloves , baking soda , and salt', 'lightly beat eggs with honey , sugar , oil , mashed yams and orange juice', 'add the egg mixture and buttermilk alternately to the dry ingredients , stir until well blended', 'add orange peel to batter mixing well', 'spoon batter into prepared muffin tins , sprinkle lightly with strussel topping and bake in preheated oven for 15 to 20 minutes']",fruit
i yam what i yam  muffins,93958,45,"['all-purpose flour', 'buckwheat flour', 'unsweetened cocoa', 'baking powder', 'baking soda', 'salt', 'ground cinnamon', 'ground cloves', 'sorghum', 'eggs', 'yam', 'low-fat buttermilk', 'orange rind', 'orange juice', 'canola oil', 'raisins', 'boiling water', 'granulated sugar']","['preheat oven to 375 degrees', 'spray muffin tin with non-stick cooking spray and set aside', 'place the raisins in a small bowl and pour the 1 / 4 cup boiling water over them', 'cover and set aside while preparing batter', 'combine the flours , cocoa , baking powder , cinnamon , cloves , baking soda , and salt', 'lightly beat eggs with sorghum , oil , mashed yams and orange juice', 'add the egg mixture and buttermilk alternately to the dry ingredients , stir until well blended', 'drain the raisins and add to batter along with orange peel', 'spoon batter into prepared muffin tins , sprinkle 1 / 4 to 1 / 2 tsp of granulated sugar over each muffin', 'bake in preheated oven for 15 to 20 minutes']",fruit
immoral  sandwich filling  loose meat,58224,35,"['ground beef', 'sugar', 'prepared yellow mustard', 'beer', 'cayenne', 'garlic', 'salt & pepper', 'american cheese']","['brown the meat & drain fat', 'stir in sugar , mustard , beer , cayenne , garlic and salt & pepper to taste', 'simmer until liquid has mostly cooked away', 'lay slices of cheese over top of meat , then cover for about 5 minutes , with heat on very low , until cheese has melted', 'stir cheese into meat', 'serve hot , on sandwich buns or bread , or over hot potatoes or rice']",vegetable
italian sandwich  pasta salad,33606,25,"['tri-color spiral pasta', 'dill pickles', 'ripe olives', 'green onion', 'chives', 'sweet pepper', 'water chestnut', 'tomatoes', 'ham', 'cheese', 'olive oil', 'cider vinegar', 'onion powder', 'garlic powder', 'salt and pepper', 'italian seasoning']","['cook pasta and set aside', 'place onions , dill pickles , olives , water chestnuts , chives and peppers in a bowl', 'add oil , vinegar and spices', 'marinate for 15-20 minutes or so', 'add pasta , tomatoes , meat and cheese and toss lightly', 'serve cold']",vegetable
italian  fries,94710,15,"['frozen french fries', 'oil', 'salt & freshly ground black pepper', 'parmesan cheese', 'oregano', 'basil', 'flat leaf parsley']","['deep fry french fries according to package directions', 'drain well on paper towels , and transfer to a serving platter', 'season with salt and pepper , then sprinkle on remaining ingredients', 'serve with your favorite condiments']",vegetable
italian  gut busters,35173,45,"['sandwich bun', 'good seasonings italian salad dressing mix', 'butter', 'deli turkey', 'ham', 'pepperoni', 'cheddar cheese', 'swiss cheese', 'mozzarella cheese']","['lay out sandwich rolls on jelly roll pans / cookie sheets', 'melt butter , mix in italian dressing mix', 'using a pastry or bbq brush , graciously apply seasoned butter to the top of the""bottom bun"" and the top of the top bun', ""don't miss this step , i don't know why , but it does make a difference !"", 'here is where i create an assembly line w / the bottoms of the buns', 'layer each bun w / ham , then swiss cheese , turkey , then cheddar cheese , pepperoni , then mozzerella cheese', 'place""lids"" on buns and place in 425 degree oven for approximly 12-15 minutes , or until you see the tops start to turn golden brown']",vegetable
jiffy  roasted corn and jalapeno cornbread,108414,35,"['whole kernel corn', 'onion', 'red bell pepper', 'butter', 'jiffy corn muffin mix', 'egg', 'heavy cream', 'jalapenos', 'sharp cheddar cheese', 'honey']","['melt butter in a saut pan', 'add the corn , onion and red pepper and saut on medium heat until some of the corn kernels start to turn golden brown', 'whisk egg , corn liquid , and cream together', 'stir into corn muffin mix with a fork', 'stir in diced jalapenos and cheddar cheese', 'quickly stir in hot sauted corn and onion mixture , just mixing in slightly', 'pour into 8 x 8 buttered baking dish', 'bake at 350 for 15 minutes', 'remove cornbread , turn off oven , drizzle cornbread with honey and put back in hot oven for 5 minutes', 'remove from oven and let stand for 10 minutes before serving']",vegetable
keep it going  german friendship cake,26995,14450,"['flour', 'water', 'dry yeast', 'milk', 'sugar', 'eggs', 'vegetable oil', 'baking soda', 'baking powder', 'salt', 'cinnamon', 'vanilla', 'crushed pineapple', 'raisins', 'nuts', 'butter', 'brown sugar']","['mix starter ingredients in a bowl and let stand at room temperature undisturbed for 24 to 36 hours', 'place starter in a medium bowl and combine it with the""first day"" ingredients', 'cover and refrigerate', 'stir once a day for 5 days', 'on the 5th day , place in a larger bowl and add the""fifth day"" ingredients', 'cover and refrigerate', 'stir once a day for 5 more days', 'remove 3 separate cups of starter and give each cup to 3 friends with the recipe and instructions', 'preheat oven to 350 degrees', 'combine all of the""tenth day"" ingredients with the remaining mixture', 'pour into a greased and floured 9 x 13"" pan', 'combine topping ingredients and sprinkle on top', 'bake for 40- 50 minutes']",fruit
killer  lasagna,53402,90,"['italian sausage', 'ground beef', 'garlic', 'dried basil', 'salt', 'whole tomato', 'tomato paste', 'ricotta cheese', 'cottage cheese', 'parmesan cheese', 'parsley flakes', 'eggs', 'ground black pepper', 'lasagna noodle', 'mozzarella cheese']","['brown the sausage and ground meat and drain all the fat', 'add all the other ingredients for the meat filling and simmer on the stove , uncovered , for about 1 / 2 hour', 'i usually add a bay leaf or two', 'mix up the cheese filling and set aside in fridge until ready to use', 'put the noodles in salted water and cook until soft when poked with a fork', 'when the noodles are done , drain the noodles and rinse off with cold water so they can be handled easily', 'spray the baking pan with a non-stick spray and put a layer of noodles down on the bottom of the pan', 'it is ok to cut some of the noodles to fit into the pan if they do not fit whole', 'spread half the cheese filling over the noodels , then half of the mozarella cheese on top of that , then half of the meat sauce over the grated mozarella cheese', 'repeat layers and then top with more mozarella cheese', 'bake at 375 degrees for 30 minutes', 'let stand for 10 minutes before cutting into it', 'leftovers can be easily stored in the freezer']",vegetable
kitchen sink  egg bake,59632,70,"['eggs', 'cottage cheese', 'cheese', 'frozen chopped spinach', 'beef', 'salt', 'pepper', 'herbs', 'spices', 'olive oil flavored cooking spray', 'toasted wheat germ']","['preheat oven to 325', 'thaw spinach , and squeeze out as much moisture as possible', 'beat the eggs in medium bowl', 'stir in the cottage cheese , grated cheese , spinach and seasonings', 'stir until mixed thoroughly', 'lightly spray glass 13x9 pan w / olive oil or pam', 'distribute meat / chicken / ham evenly over bottom of pan', 'pour cottage cheese mixture over meat', 'push w / spatula to distribute evenly', 'top with extra grated cheese if desired', 'sprinkle top w / toasted wheat germ', 'bake 45-50 minutes , until set and slightly brown at edges', 'let sit a few minutes out of oven before serving', 'serve hot or at room temperature']",vegetable
leftovers  spaghetti sauce,100870,40,"['stewed tomatoes', 'prego spaghetti sauce', 'garlic', 'ground beef', 'white onion', 'granulated sugar']","[""i had previously browned and drained the ground beef and had it in the fridge , if you don't have this leftover , brown ground beef first in a nonstick skillet , drain off fat really well"", 'i use a pile of paper towels to soak up the fat', 'place ground beef in a large pot', 'stir in all other ingredients except the sugar', 'bring to a boil , stirring occasionally', 'turn heat down to low and simmer uncovered or covered for about 30 minutes or so to let the flavors mix , stirring occasionally', 'taste the sauce now and then and add more onions or garlic to taste', 'add a little sugar to neutralize the acidity of the tomatoes during the simmering', 'serve over hot spaghetti noodles', 'the sauce should be fairly thick , not runny , so as you add in the ingredients , use more or less of the prego as needed', 'if too thick , add a little water , more prego , or more stewed tomatoes with juice', 'when i made mine , it was the consistency of chili', 'this makes a pretty decent batch , can feed 2-4 depending on how much everyone eats in a serving']",vegetable
make that chicken dance  salsa pasta,32169,30,"['tomatoes', 'garlic', 'onion', 'button mushrooms', 'hot sauce', 'dried oregano', 'dried basil', 'fresh parsley', 'water', 'salsa', 'chicken breasts', 'olive oil', 'fresh ground black pepper', 'parmesan cheese', 'pasta']","['heat oil in a frying pan and saut the onions and mushrooms until soft , about two minutes', 'add the water , tomatoes , garlic , oregano , basil , parsley and hot sauce', 'simmer over low heat for 6-10 minutes or until tomatoes are soft and enough water has evaporated to form a relatively thick sauce', 'add salsa and chicken', 'simmer until heated through', 'cook pasta of your choice until al dente', 'serve sauce over hot pasta , top with parmesan cheese and freshly ground black pepper']",vegetable
mennonite  corn fritters,44045,15,"['fresh corn', 'eggs', 'flour', 'salt', 'pepper', 'baking powder', 'cream', 'fat']","['combine eggs , flour , baking powder , salt& pepper with the corn', 'mix thoroughly', 'add cream to mixture', 'melt fat in frying pan& drop corn mixture by spoonfuls into the hot fat', 'brown on both sides', 'serve w / syrup']",vegetable
mr  grant you took half veal prince orloff,43164,120,"['veal roast', 'butter', 'oil', 'carrots', 'onions', 'parsley sprigs', 'bay leaf', 'thyme', 'salt', 'pepper', 'bacon']","['preheat oven to 325', 'dry the veal on paper towels', 'place in a heavy casserole just large enough to hold the veal easily', 'place the casserole over moderately high heat with the butter and oil', 'when you see the butter foam begin to subside , brown the veal lightly on all sides', 'this takes 10 to 15 minutes', 'remove the veal', 'if the browning fat has burned , pour it out and add butter', 'stir in the vegetables and herb bouquet , cover and cook over low heat for 5 minutes with out browning', 'sprinkle salt and pepper over the veal', 'return it to the casserole and baste with the butter in the casserole', 'insert meat thermometer', 'lay the blanched bacon over the meat , then cover with foil', 'cover the casserole and set in lower third of preheated oven', 'regulate heat so meat cooks slowly and steadily for about 1-1 / 2 hours', 'baste it 2 or 3 times with the juices in the casserole', ""the roast is done at a thermometer reading of 175 degrees , or as soon as it's juices run clear yellow when the meat is pricked deeply with a fork"", 'place the veal on a hot platter and discard trussing strings', 'the veal and vegetables will have produced a cup or more of juice in the casserole', 'remove all but 2 tablespoons of fat from them', 'set casserole over moderate heat while scraping up any coagulated cooking juices from the bottom and sides with a wooden spoon , and mashing the vegetables into the liquid', 'boil down rapidly if necessary', 'you should have 3 / 4 to 1 cup', 'correct seasoning , and strain into a hot gravy boat', 'garnish the meat platter with whatever vegetables you have chosen , and serve', 'if you are not serving immediately , return the veal and sauce to the casserole , cover partially , and set in a turned-off hot oven where it will stay warm for half an hour at least']",vegetable
munch without guilt  tomatoes,30300,10,"['tomatoes', 'crackers', 'mayonnaise', 'black pepper']","['put a slice of tomato on each biscuit / cracker', 'smear with little mayo and sprinkle black pepper', 'munch without guilt !']",vegetable
my muffuletta sandwich,78655,20,"['ciabatta', 'provolone cheese', 'genoa salami', 'ham', 'tomatoes', 'sweet onion', 'green olives', 'kalamata olive', 'fresh basil', 'capers', 'garlic', 'brine', 'oregano leaves', 'olive oil', 'red wine vinegar', 'fresh parsley', 'carrot']","['mix everything in food processor', 'chop fine for spread', 'refrigerate until ready to use']",vegetable
